Time,Magnitude,Place,Latitude,Longitude,Depth
2023-02-25 10:27:10.918,5.2,"15 km ENE of Emirgazi, Turkey",37.9797,33.9876,11.752
2023-02-25 08:58:40.076,4.1,"20 km SSW of Darende, Turkey",38.3654,37.4414,5.166
2023-02-25 01:12:20.001,4.2,Central Turkey,36.0592,35.9528,10.0
2023-02-25 00:28:10.057,4.2,"2 km NE of Solhan, Turkey",38.9781,41.0714,6.75
2023-02-24 20:25:30.019,4.5,eastern Turkey,38.0934,38.7162,10.0
2023-02-24 17:20:00.554,4.6,"7 km NNE of Gürün, Turkey",38.7865,37.3025,10.0
2023-02-24 14:02:00.044,4.5,"15 km ENE of Emirgazi, Turkey",37.9736,33.9905,10.022
2023-02-24 05:46:18.423,4.0,,36.3086,36.0365,10.0
2023-02-23 15:53:47.547,4.9,"6 km SSE of Büyükçat, Turkey",36.0589,36.095,10.0
2023-02-23 11:41:44.935,4.4,"14 km SW of Do?an?ehir, Turkey",38.0035,37.7419,10.0
2023-02-23 03:23:02.764,4.0,"31 km NW of Gaziantep, Turkey",37.2286,37.0909,10.0
2023-02-22 20:36:08.040,4.1,"13 km E of Çelikhan, Turkey",38.0438,38.3872,9.136
2023-02-22 07:56:55.082,4.2,"5 km SSW of Do?an?ehir, Turkey",38.0395,37.8449,10.0
2023-02-22 07:09:44.208,4.4,"11 km NW of Hani, Turkey",38.4898,40.3081,11.672
2023-02-22 04:40:03.213,4.0,"12 km ENE of Göksun, Turkey",38.0463,36.6397,10.0
2023-02-21 16:06:48.560,4.2,"3 km E of Bal?kl?dere, Turkey",36.1158,36.1459,10.0
2023-02-21 11:55:52.878,4.1,"11 km N of Nurhak, Turkey",38.0685,37.43,10.747
2023-02-21 10:09:38.143,4.2,Central Turkey,37.4411,37.2074,16.582
2023-02-21 09:56:46.442,4.2,"18 km NW of Sincik, Turkey",38.1698,38.4896,5.935
2023-02-20 23:21:14.407,4.3,"8 km NW of Nurhak, Turkey",38.0175,37.3695,10.0
2023-02-20 19:09:20.418,4.2,"2 km WSW of Kuzeytepe, Turkey",36.2572,36.1266,10.0
2023-02-20 19:00:14.488,4.2,"5 km SW of Uzunba?, Turkey",36.105,35.9906,10.0
2023-02-20 17:13:18.998,4.6,Turkey-Syria border region,36.2653,36.0798,10.0
2023-02-20 17:07:35.934,5.5,"9 km WNW of Uzunba?, Turkey",36.159,35.9351,10.0
2023-02-20 17:04:29.747,6.3,"2 km NNW of Uzunba?, Turkey",36.1616,36.0251,16.0
2023-02-20 03:45:38.422,4.4,"6 km SSE of Palu, Turkey",38.6405,39.9601,7.501
2023-02-20 01:49:00.120,4.3,"26 km E of Göksun, Turkey",38.0024,36.7996,6.718
2023-02-20 01:07:37.652,4.4,"8 km SE of Palu, Turkey",38.6331,39.9916,5.322
2023-02-20 00:58:49.108,4.2,"4 km SSE of Palu, Turkey",38.6528,39.9381,13.941
2023-02-20 00:39:03.160,4.5,"5 km E of Palu, Turkey",38.6907,39.9843,10.0
2023-02-20 00:37:30.258,4.7,"5 km S of Palu, Turkey",38.6445,39.9175,10.0
2023-02-19 23:57:26.565,4.2,"19 km WSW of Do?anyol, Turkey",38.2676,38.8212,10.0
2023-02-19 21:30:30.167,3.9,"24 km SSW of Kahramanmara?, Turkey",37.3725,36.8705,10.0
2023-02-19 12:04:33.897,4.6,"8 km SW of Ye?ilyurt, Turkey",38.2354,38.1917,5.306
2023-02-19 04:07:41.230,4.3,"19 km NE of Nurda??, Turkey",37.3021,36.8869,11.749
2023-02-19 04:06:17.623,4.2,"14 km NE of Nurda??, Turkey",37.2737,36.8291,10.0
2023-02-19 03:59:10.433,4.1,"9 km ESE of Nurda??, Turkey",37.1416,36.8384,9.74
2023-02-19 00:56:11.610,4.3,"13 km ENE of Saimbeyli, Turkey",38.0406,36.2306,6.431
2023-02-18 19:31:31.742,5.0,"10 km ENE of Göksun, Turkey",38.0696,36.5991,12.158
2023-02-18 16:14:41.445,4.0,eastern Turkey,37.9217,38.1144,9.326
2023-02-18 05:26:04.931,4.0,"2 km NW of Ekinözü, Turkey",38.073,37.1651,5.16
2023-02-17 20:53:05.762,2.6,,37.9028,32.5633,10.0
2023-02-17 19:10:38.916,3.9,,38.0804,38.1774,15.797
2023-02-17 15:34:38.723,4.4,"21 km WSW of Kovanc?lar, Turkey",38.6273,39.642,10.0
2023-02-17 14:58:56.344,4.4,"17 km WSW of Göksun, Turkey",37.9375,36.3279,6.44
2023-02-17 00:35:58.508,4.6,"8 km ESE of Yayladere, Turkey",39.1851,40.1492,10.0
2023-02-16 23:53:24.376,4.1,"7 km NNE of Tut, Turkey",37.8609,37.9524,10.0
2023-02-16 19:47:49.683,5.2,"21 km W of Uzunba?, Turkey",36.1766,35.7967,10.0
2023-02-16 16:38:32.250,4.1,"7 km SE of Nurhak, Turkey",37.9197,37.5097,10.0
2023-02-16 14:45:42.473,4.6,"12 km NNW of Do?an?ehir, Turkey",38.1997,37.8377,10.0
2023-02-16 05:18:56.895,4.3,eastern Turkey,38.0817,38.5211,15.653
2023-02-15 23:43:38.793,3.9,"24 km NNE of Nurda??, Turkey",37.3595,36.8701,13.697
2023-02-15 22:25:57.731,4.2,"12 km ENE of Göksun, Turkey",38.0487,36.6395,6.273
2023-02-15 15:12:12.779,4.2,Central Turkey,40.5723,35.3842,2.084
2023-02-15 07:36:29.833,4.4,"2 km W of Göksun, Turkey",38.0187,36.4651,5.224
2023-02-15 06:25:30.679,4.3,Central Turkey,38.0945,36.7069,10.0
2023-02-15 00:06:02.819,4.2,Turkey-Syria border region,36.7937,36.5503,10.0
2023-02-14 23:14:01.248,4.5,"2 km SW of Darende, Turkey",38.5302,37.4908,5.0
2023-02-14 15:50:37.803,4.4,"3 km NW of Ekinözü, Turkey",38.0849,37.166,0.343
2023-02-14 13:13:07.027,4.0,"5 km NE of Tut, Turkey",37.8316,37.9533,12.979
2023-02-14 11:54:11.925,4.4,"6 km NNW of K??lak, Turkey",36.0172,36.1295,10.0
2023-02-14 01:56:32.424,4.2,"12 km WSW of Dörtyol, Turkey",36.781,36.1142,10.0
2023-02-13 19:20:27.970,4.6,Central Turkey,38.0051,36.42,7.437
2023-02-13 15:15:05.178,4.2,"21 km SE of Saimbeyli, Turkey",37.8703,36.2865,10.0
2023-02-13 14:28:17.684,4.3,"2 km WNW of Sincik, Turkey",38.0402,38.589,13.42
2023-02-13 11:59:17.459,4.5,"12 km NNE of A?a?? Karafak?l?, Turkey",36.8844,36.6204,11.34
2023-02-12 22:52:59.819,4.3,"12 km E of Göksun, Turkey",38.0251,36.6342,10.0
2023-02-12 22:02:06.488,4.0,"20 km SW of Uzunba?, Turkey",36.0389,35.8488,10.0
2023-02-12 21:21:34.902,4.4,"9 km N of ‘Afr?n, Syria",36.5999,36.8854,10.0
2023-02-12 19:02:29.312,4.3,"31 km SW of Pazarc?k, Turkey",37.2623,37.0849,10.0
2023-02-12 18:33:14.268,4.7,"27 km SSE of Kahramanmara?, Turkey",37.3429,36.9989,9.339
2023-02-12 17:28:17.826,4.1,"12 km ENE of Göksun, Turkey",38.083,36.6197,10.0
2023-02-12 16:29:49.826,5.0,"8 km E of Hekimhan, Turkey",38.824,38.031,10.0
2023-02-12 14:30:03.956,4.4,"29 km SE of Göksun, Turkey",37.8149,36.7003,10.0
2023-02-12 13:29:14.610,4.3,"9 km SSE of Çelikhan, Turkey",37.9553,38.2894,10.0
2023-02-12 12:25:22.576,4.2,,36.7991,36.7677,4.27
2023-02-12 10:00:25.592,4.1,"12 km NNE of Çelikhan, Turkey",38.1339,38.2786,16.771
2023-02-12 09:32:23.493,4.2,"4 km E of Alt?nözü, Turkey",36.1158,36.3017,10.0
2023-02-12 08:21:00.556,4.0,"17 km ESE of Shemokmedi, Georgia",41.875,42.2665,10.0
2023-02-12 08:14:10.398,4.4,"11 km E of Ekinözü, Turkey",38.0797,37.3193,7.67
2023-02-12 08:07:00.891,4.3,"7 km ESE of Shemokmedi, Georgia",41.8775,42.1528,10.0
2023-02-12 06:15:23.782,4.0,"9 km NNW of Sincik, Turkey",38.1156,38.5843,8.654
2023-02-12 04:52:59.139,4.1,"7 km SSE of Nurhak, Turkey",37.9055,37.4792,10.0
2023-02-12 04:46:30.728,4.3,"9 km ENE of K?r?khan, Turkey",36.5324,36.4568,10.0
2023-02-12 04:29:14.767,4.3,"5 km NW of Ad?yaman, Turkey",37.796,38.2326,10.0
2023-02-11 23:30:56.494,4.1,"6 km W of Göksun, Turkey",38.0249,36.4218,10.0
2023-02-11 22:29:15.692,4.3,Turkey-Syria border region,36.6384,36.5737,10.0
2023-02-11 20:39:04.780,4.3,"6 km SW of Tut, Turkey",37.7557,37.8675,11.351
2023-02-11 17:50:16.285,4.3,"14 km NE of Sincik, Turkey",38.1325,38.732,2.958
2023-02-11 17:20:01.540,4.3,"1 km ENE of Kuzeytepe, Turkey",36.268,36.171,10.0
2023-02-11 15:33:42.003,4.4,Georgia-Turkey border region,41.9449,42.1521,10.0
2023-02-11 14:38:03.890,4.4,"8 km S of Göksun, Turkey",37.9428,36.5034,10.0
2023-02-11 13:09:59.585,4.5,"13 km ENE of Hekimhan, Turkey",38.8519,38.0757,10.0
2023-02-11 12:54:58.944,4.1,"12 km NE of Göksun, Turkey",38.0902,36.6163,8.66
2023-02-11 11:59:53.865,4.2,"24 km SE of Göksun, Turkey",37.8492,36.67,8.739
2023-02-11 11:51:41.073,4.4,"4 km WSW of K?r?khan, Turkey",36.4869,36.3096,5.36
2023-02-11 11:05:17.347,4.3,"16 km NE of Göksun, Turkey",38.1233,36.6274,13.853
2023-02-11 09:03:36.465,4.3,"9 km W of Çelikhan, Turkey",38.0281,38.1329,4.448
2023-02-11 07:55:41.897,4.6,"19 km N of Musabeyli, Turkey",37.0598,36.95,4.748
2023-02-11 06:28:13.163,4.6,"8 km NE of Göksun, Turkey",38.0647,36.5778,8.106
2023-02-11 06:06:23.849,4.0,"11 km SSW of Çelikhan, Turkey",37.9256,38.192,10.0
2023-02-11 04:47:04.418,4.3,Central Turkey,37.8165,36.5708,10.0
2023-02-11 03:38:24.893,4.2,"18 km WSW of Sincik, Turkey",37.9489,38.4382,10.26
2023-02-11 00:24:43.131,4.1,"19 km ENE of K?r?khan, Turkey",36.5556,36.5606,10.0
2023-02-10 20:12:47.019,4.2,eastern Turkey,38.0517,38.5848,10.0
2023-02-10 17:31:24.653,4.1,"15 km N of Sincik, Turkey",38.1788,38.5981,4.258
2023-02-10 17:00:51.366,4.7,"21 km ESE of Saimbeyli, Turkey",37.8868,36.2951,2.087
2023-02-10 10:01:20.828,4.4,"14 km SW of Ye?ilyurt, Turkey",38.1976,38.1375,10.0
2023-02-10 09:02:49.022,4.3,"7 km NW of Çelikhan, Turkey",38.0757,38.1756,7.345
2023-02-10 04:53:51.269,4.2,eastern Turkey,38.0858,38.451,10.0
2023-02-10 04:50:24.791,4.7,"15 km SSW of Ye?ilyurt, Turkey",38.1736,38.1714,10.0
2023-02-10 02:03:42.954,4.4,"12 km N of Çelikhan, Turkey",38.1343,38.2167,10.0
2023-02-10 01:50:59.593,4.3,"20 km SE of Göksun, Turkey",37.8685,36.631,5.225
2023-02-09 22:06:39.447,4.2,"8 km ESE of Hasanbeyli, Turkey",37.1058,36.6317,5.459
